store,websites,attribute_set,prodtype,tier_prices,type_of_store,industry,department,name,description,short_description,sku,brandName,colorName,swatch_image,gallery,color1,color2,size,weight,price,cost price,dimesions_outside,dimesnions_inside,has_options,required_options,visibility,webin,associated,config_attributes,additional_attributes,configurable_variations,qty,url_key,is_in_stock,category_ids
admin,base,Default,virtual,32000=24=35.89|32000=48=34.29|32000=72=33.10|32000=144=31.9|32000=250=31.1,"1 , 2  , 4","1 , 2 , 3 , 4 , 5 , 6",3,21L Script Backpack,"<ul><li>600D heathered fabric, 900D solid fabric</li><li>Padded shoulder straps and back</li><li>Top carry handle</li><li>Main zippered compartment with laptop sleeve, fits most 15&quot; laptops</li><li>Front zippered pocket with organizational compartment</li><li>Slip side pockets</li></ul><p>11 1/2&quot; W x 18&quot; H x 6 1/4&quot; D</p>",,B190955001,Champion,Heather Black/ Black,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AAB_NK4YOzm1RBukDdHW7sxOa/17039_fm.jpg?dl=0,"https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AAA1Vo6ceGPJPChW0E9AB-bta/71205_f_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AADT6Cx7h53nucM4WewJPon1a/71205_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AADRh5FNZPwjsBazG3dSEoMNa/71205_d_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AACs-eE3jYQhae1Gm3F6RZMGa/71205_b_fm.jpg?dl=0",#1b151a,#1c1b19,Large,1.25,39.88,19.94,,,0,0,Not Visible Individually,,,,,,900,backpack-b190955001,1,7
admin,base,Default,virtual,32000=24=35.89|32000=48=34.29|32000=72=33.10|32000=144=31.9|32000=250=31.1,"1 , 2  , 4","1 , 2 , 3 , 4 , 5 , 6",3,21L Script Backpack,"<ul><li>600D heathered fabric, 900D solid fabric</li><li>Padded shoulder straps and back</li><li>Top carry handle</li><li>Main zippered compartment with laptop sleeve, fits most 15&quot; laptops</li><li>Front zippered pocket with organizational compartment</li><li>Slip side pockets</li></ul><p>11 1/2&quot; W x 18&quot; H x 6 1/4&quot; D</p>",,B190955101,Champion,Heather Grey/ Black,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AAAqaU03wpPSq1XP9bSEcoUBa/13198_fm.jpg?dl=0,"https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AADWENMdwuNWtWHDEjidK1iZa/71206_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AADiNiIlyq2SgUeqy2o3VJIBa/71206_f_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AAC9009mFRKMj9IUbn7RBrMSa/71206_d_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AADvq4_vu1n7fvpgOKAKyXGSa/71206_b_fm.jpg?dl=0",#64625b,,Large,1.25,39.88,19.94,,,0,0,Not Visible Individually,,,,,,900,backpack-b190955101,1,7
admin,base,Default,virtual,32000=24=35.89|32000=48=34.29|32000=72=33.10|32000=144=31.9|32000=250=31.1,"1 , 2  , 4","1 , 2 , 3 , 4 , 5 , 6",3,21L Script Backpack,"<ul><li>600D heathered fabric, 900D solid fabric</li><li>Padded shoulder straps and back</li><li>Top carry handle</li><li>Main zippered compartment with laptop sleeve, fits most 15&quot; laptops</li><li>Front zippered pocket with organizational compartment</li><li>Slip side pockets</li></ul><p>11 1/2&quot; W x 18&quot; H x 6 1/4&quot; D</p>",,B190950101,Champion,Heather Red Scarlet/ Black,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AADoKcghYLGff7-ttiH8ljDea/17040_fm.jpg?dl=0,"https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AADKtNV-1ZmejJnhWBKdrFLza/71207_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AADIhmfUloXS2N6jISVJ_5n4a/71207_f_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AAAH5hD2zkkKQOpfGPwubLeBa/71207_d_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AACIVx84n8AKqaHLxVNC4tBZa/71207_b_fm.jpg?dl=0",#f80808,#1c1b19,Large,1.25,39.88,19.94,,,0,0,Not Visible Individually,,,,,,900,backpack-b190950101,1,7
admin,base,Default,virtual,32000=24=35.89|32000=48=34.29|32000=72=33.10|32000=144=31.9|32000=250=31.1,"1 , 2  , 4","1 , 2 , 3 , 4 , 5 , 6",3,21L Script Backpack,"<ul><li>600D heathered fabric, 900D solid fabric</li><li>Padded shoulder straps and back</li><li>Top carry handle</li><li>Main zippered compartment with laptop sleeve, fits most 15&quot; laptops</li><li>Front zippered pocket with organizational compartment</li><li>Slip side pockets</li></ul><p>11 1/2&quot; W x 18&quot; H x 6 1/4&quot; D</p>",,B190957501,Champion,Heather Royal/ Black,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AABqsqgOxxQbvOAIGSVQ9NhJa/17041_fm.jpg?dl=0,"https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AACHi1HbJuq9099x_Y9MrGNea/71208_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AACqFw-dsk76H36dN1gUEWHga/71208_f_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AADk8hjH1rom_KNLARuqWgY2a/71208_d_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AACqjLQTfHgbtnMqV-LjbI3ia/71208_b_fm.jpg?dl=0",#305791,#1b151a,Large,1.25,39.88,19.94,,,0,0,Not Visible Individually,,,,,,890,backpack-b190957501,1,7
admin,base,Default,configurable,32000=24=35.89|32000=48=34.29|32000=72=33.10|32000=144=31.9|32000=250=31.1,"1 , 2  , 4","1 , 2 , 3 , 4 , 5 , 6",3,21L Script Backpack,"<ul><li>600D heathered fabric, 900D solid fabric</li><li>Padded shoulder straps and back</li><li>Top carry handle</li><li>Main zippered compartment with laptop sleeve, fits most 15&quot; laptops</li><li>Front zippered pocket with organizational compartment</li><li>Slip side pockets</li></ul><p>11 1/2&quot; W x 18&quot; H x 6 1/4&quot; D</p>",,B19095750-parent,Champion,Heather Royal/ Black,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AABqsqgOxxQbvOAIGSVQ9NhJa/17041_fm.jpg?dl=0,"https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AACHi1HbJuq9099x_Y9MrGNea/71208_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AACqFw-dsk76H36dN1gUEWHga/71208_f_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AADk8hjH1rom_KNLARuqWgY2a/71208_d_fm.jpg?dl=0,https://www.dropbox.com/sh/8sm3k5tsuy0xi6t/AACqjLQTfHgbtnMqV-LjbI3ia/71208_b_fm.jpg?dl=0",#305791,#1b151a,Large,1.25,39.88,19.94,,,0,0,"Catalog, Search",,"B190955001,B190955101,B190950101,B190957501","color,size","B190955001=color=Heather Grey/ Royal,B190955101=color=Heather Grey/ Royal,B190950101=color=Heather Grey/ Navy,B190957501=color=Heather Grey/ Black","sku=B190955001,size=S,color=Heather Black/ Black|sku=B190955101,size=S,color=Heather Grey/ Black|sku=B190950101,size=S,color=Heather Grey/ Navy|sku=B190957501,size=S,color=Heather Grey/ Black",,backpack-b19095750-parent,1,7
